index,comment,label,predict
9520,"em này xách dép cho xiaomi thôi
",1,0
13750,"chất lượng tốt trog tầm giánhưng giao hàng chậmtừ lúc đặt đến lúc nhận được hàng là tròn 1tuan
",1,0
3328,"mình chưa nhận được hàng shop
",0,1
8629,"15cai chỉ gần 600gr thôibánh đa dạng nhưng nhỏ là nhiều
",0,1
13788,"em có con chuột không dây 150k cũng đầy đủ nút bấm dùng 2 năm rồi hết pin là thấy thôi
",0,1
102,"ngọt wá cây wá ướt wá tạm được đúng với giá tiền
",1,0
8292,"đồng hồ bị sao á split không đổi giờ được
",0,1
2095,"combo tinh dầu cam ngọt brazil milaganics 10ml tinh dầu oải hương ấn độ milaganics 10ml không thơm
",1,0
9622,"thời gian giao hàng rất nhanhnhung sản phẩm không chắc chắn lamko bít có ép nước được không nữa
",0,1
8374,"shop phục vụ không tốt móc hít gì keo chảy ra hết đến lúc dính từng không bám không hài lòng mong shop lưu ý khi chuyển hàng cho khách
",0,1
13911,"không biết chất lượng sp như thế nào nhưng đóng chai cẩu thả nhãn dán photo như hàng ngoài chợ
",0,1
14637,"mình mua được chục hôm không thấy bị sao hết 3g vina căng đét
",0,1
4448,"đặt 1mau gửi 1mau
",0,1
7254,"hàng nhìn trên thấy đẹp về thì hãng xấu mò
",1,0
7712,"gương in bị lệch rồi shop
",0,1
8121,"cái thiết kế của fuji không chê vào đâu được mỗi lần cầm máy lên là cảm xúc lại trào dâng ngắm máy thôi cũng đã thấy sướng rồi ăn chơi là phải sướng hehe
",0,1
11610,"không có gì để chê từ gói hàng đến chất lượng đều ok mua nhiều rồi chưa bg thất vọng shop
",0,1
10509,"giày giống hình nhưng đi rất đau chân phần da giày rất cứng
",1,0
12603,"giày không giống so với hình chất không được đẹp
",0,1
6216,"ve rỉ gút
",0,1
10873,"1 số mặt hàng công nghệ của tq không kém gì của thế giới cũng gần như sámung và kém iphone 1 chút mà giá lại rẻnếu ai dùng mang tính chất sử dụng công nghệ mà không cần đánh bóng như sámung và iphone thì sp này là hợp lý tôi ủng hộ sp này
",0,1
14107,"bắt sóng mạnh
",0,1
12010,"shop gói không kỹ móp cả con gàchỉ thì xúc hếtko chắc chắn v đẹp như hìh đăng
",1,0
9392,"đúng vậy con v470 bluetooth cũng trâu không kém cạnh bên cạnh đó bấm chuột logitech rồi thì phải xài nó hoặc hãng cao hơn thôi genius mitsumi dell chắc chưa đến tuổi
",0,1
9267,"thời gian giao hàng nhanh nhưng chất lượng sản phẩm kém dù giá ban đầu shop rao là 699k và giảm còn 97k đồng hồ chạy nhanh khoảng 15p mỗi 8 tiếng mua về đeo 1 ngày quăng thì ok
",1,0
3425,"mình đặt màu xanh nhưng shop ship cho mình màu tím
",0,1
7722,"thời gian giao hàng nhanh shop phục vụ rất tốt đóng gói sản phẩm rất đẹp và chắc chắn tiền nào của đó thôi rẻ không nên mua
",1,0
2145,"đóng gói sản phẩm rất kém rất đáng tiền
",0,1
4764,"tưởng sao không có trui sắc thì sao đây pin được
",0,1
10171,"cơm ròn ngon nhưng hơi nhiều dầu chiên dính hết cả ra ngoài vỏ túi
",0,1
937,"hợp đựng đồng hồ không giống như clip sao nó lại ra tên v shop
",0,1
9236,"sim lên mạng yếunổi chữ em
",1,0
14650,"tuy không nhận sự nhờ vả của chúng tôi nhưng bs vẫn mổ và chăm sóc cho bố tôi rất tốt cuộc phẫu thuật cho bố tôi kéo dài từ 8 giờ đến 17h30 chúng tôi rất cảm động
",1,0
9385,"đóng gói rất xấu
",1,0
5279,"hộp đựng ok nhuưng túi đựng vừa nhận kéo khóa đã hỏng rồiiiiiiiiii
",1,0
6330,"mình chọn số 3 thì shop gửi số 10 không ưng lắm
",0,1
4871,"sản phẩm dở hạt nhỏ và non không như quảng cáo
",0,1
16076,"chất lượng mình không ừng lắm nhưng bé nhà mình thích mấy màu này nhưng lần sao shop rút kinh nghiệm với khách đã mới mua hàng nếu có gì thay đổi phải thoòng báo cho khách biết tráng tình trạng như lần này nên mình vẫn cho shop 5 sao
",0,1
13379,"mình đặt 8 mask được ship cả hộp mà hơi bị móp hộp chút nhưng không có vấn đề gì ạ
",0,1
10034,"mình cứ nghĩ sẽ có 5 mẫu nhưng chỉ có hai mẫu cho 5 cái
",1,0
14991,"chất lượng sp kém
",0,1
8035,"không ổn lắm
",1,0
11315,"shop giao sai màu m đặt
",0,1
12887,"không hài lòng kính bị trầy quá nhiều không sử dụng được
",0,1
10907,"với giá tiền này tôi chọn PC 40 triệu là được 1 case và 1 màn siêu khủng rồi
",1,0
9490,"giao chậm quá làm không lấy được xu
",0,1
5155,"không biết có phải nghệ 100%% konhung sau vài ngày sử dụng thì chứng viêm loét dạ dày tôi đã bớt ok
",0,1
4978,"sản phẩm không đúng giao hàng là sinh không thấy hàng khuyến mại nhé đã nói
",0,1
2122,"shop giao lộn đơn hàng mong shop bán đồ có tâm dùm
",1,0
16032,"chất lượng sản phẩm tuyệt vời shop phục vụ kém thời gian giao hàng chậm
",1,0
13030,"nếu tốt thì mọi người hoan nghênh và chúc mừng
",1,0
13563,"đồ dễ vở dễ trầy xước mà đóng gói quá sơ xài nhận kính gương bị trầy xước hết rồi cường lực bị va đập độ đóng gói ẩu đã nứt 3 sao thôi
",0,1
7484,"chỉnh ngày kiểu gì vậy shop
",0,1
3704,"phần lưu ý mình dặn shop cho mình 4 bịch hồng và 2 bịch xanh shop cho mình màu hồng hết luôn vậy
",0,1
9341,"không có hộp adidas
",0,1
1570,"""""Mình rất thích sản phẩm của Sony, laptop thi mình cũng chọn Sony Vaio, mình đã từng xài qua Sony Z, Z1, Z3. Mình xin có ý kiến như sau : * Tấc cả các model khác của Sony thì chất lượng về màu sắc, camera đều không bằng Sony Z3 hoặc Z5. Cho dù bạn có chọn các model mới ra sau này của Sony đi nữa thì màn hình bảo đảm không đẹp bằng Sony Z3 hoặc Z5 đâu, đơn giản vì model thuộc dòng Z là model cao cấp nhất của Sony, bên mãng laptop của Sony cũng vậy, dòng Z là đắt tiền nhất.""""
",0,1
3527,"hàng bị vỡ 1 chút nhưng vẫn dùng đượcthời gian đợi lâu qias
",1,0
12785,"hơi mỏng đường may không được chắc lắmtạm cho 5 sao
",0,1
11364,"em cũng đang dùng 325 mãi không hư
",0,1
3502,"không ngon lắm khô mềm và có mùi mình
",1,0
7897,"shop làm ăn gian dối đặt bàn là cầm tay thì giao bàn là để bàn nhắn tin hỏi mấy lần không trả lời làm mất uy tín của shopee
",0,1
15235,"hàng dùng siêu tốt mình tưởng full 3 vạch wifi trong phòng là mạng ảo chứ không dùng được ai ngờ dùng tốt nhanh xem video thoải mái trước đó thì chỉ bắt được 1 vạch vì cục wifi gốc thấp quá không vào được phòng split câu hỏi cho shop lắp cái này vào tiền điện có bị tăng đột biến không
",0,1
5050,"sản phẩm màu không giống split
",0,1
6946,"mà sao các bác biết người ta không làm từ thiện
",0,1
12402,"mình vừa mở hàng thì thấy bị bể như hình shop vui lòng đổi lại sp mới giúp mình nhé thanks
",1,0
14438,"miếng lót mỏng và bị lỗi nhiều
",0,1
9586,"giao hàng lâu ơi là lâu chắc do trả tiền trước
",0,1
4347,"leveu nghe nhạc da thật bà con à
",0,1
9602,"sản phẩm đúng như trên hình
",0,1
11542,"bị bục túi
",0,1
3169,"chất lượng sản phẩm tốt giao hàng nhanh split tôi rất hài lòng với sp mà tôi đã chọn split cảm ơn shopee
",1,0
11387,"địt mẹ hàng như lồn mẹ chủ shop địt mẹ m
",1,0
5350,"màu vàng nhah bong tróc quá
",0,1
4057,"máy nhanh nóng quá
",1,0
6259,"cũng đẹp nhưng mấy lời
",1,0
6827,"giao hàng không đúng size bị lỗi nguyên 1 đường dài phía trước luôn
",0,1
2498,"dặn màu xanh lại gửi màu hồng
",0,1
13214,"fakeee
",1,0
2034,"một miếng cường lực 9d bị sước góc phải không hoàn thiện mong shop bù mìn đơn sau
",0,1
3706,"lần đầu mua thấy đẹp mua thêm cái sau cũng là loại quần đó mà vừa rộng vừa xấuchào tạm biệt
",1,0
9853,"sử dụng gây mất ngủ còn lại 14 gói
",0,1
7145,"shop này làm ăn kì lắm không cho đổi hàng mọi nh suy nghĩ kĩ hãy mua nhé
",0,1
4606,"giao hàng nhanh đóng gói chắc chắn tuy nhiên cân không chính xác hơi thất vọng
",1,0
14220,"nếu có bọc chống sốc thì tốt ạ vì bên vận chuyển quăng hàng làm bể một cái ạ
",0,1
14028,"giao hàng nhanh hàng bị lỗi ổ cắm điện không sử dụng được
",0,1
2996,"hàng đểu mi giờ mua về không sử dụng được lúc chạy lúc không không nbuw quảng cáo split
",0,1
9355,"ngon và lạ
",1,0
12463,"đặt toner lại gửi nhầm kem đánh răng khổ
",0,1
4231,"giao báo nhanh từ hn vào thành phố hồ chí minh mà chỉ đúng 2 ngày là m nhận được
",0,1
