index,comment,label,predict
8658,"uống xong 1 tuần thấy người nhẹ hẳn phải xuống 3kg m đã dùng vip5 nhưng giảm rất ít nên chuyển qua vip7 thấy ok
",0,0
14349,"đóng gói sản phẩm rất kém chảy ướt cả hộp giấy gói rất không đáng tiền
",1,1
15290,"facebook cho shop này
",0,0
4269,"giao hàng nhanh theo đúng như hình không biét cl như nào
",0,0
9520,"em này xách dép cho xiaomi thôi
",1,0
7889,"chất lượng sản phẩm tuyệt vời có hộp vừa ý
",0,0
12209,"lúc mua tôi có ghi lấy chậu màu xanh nhưng khi giao lại là màu hồng
",1,1
13824,"hàng không giống mô tả mua bao tay cacbon lại giao bao tay lót cao su
",1,1
6162,"vừa xinh với cái bàn máy tính của mình chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh
",0,0
13750,"chất lượng tốt trog tầm giánhưng giao hàng chậmtừ lúc đặt đến lúc nhận được hàng là tròn 1tuan
",1,0
291,"mình nhấn hủy đơn hàng vì lí do cá nhân nhưng shop không chấp nhận yêu cầu và vẫn tiến hành gửi đồng hồ thì bị tróc sơn 1 mắt chốt nhìn rất là lộ rất không hài lòng về thái độ phục vụ của shop
",1,1
14471,"mình tưởng chăn to mà nhận được chăn nhỏ có 90x120 à chất cũng không được đẹp như chăn trc mình đã mua
",1,1
3328,"mình chưa nhận được hàng shop
",0,1
7224,"shop gửi hàng thiếu không thấy hoàn tiền dù đã mua thêm lần nữa
",1,1
16033,"trước đọc tin xem ip phát triển sao giờ xem để biết ip xuống như nào v
",1,1
7044,"shop phục vụ rất tốt split thời gian giao hàng rất nhanh split đóng gói sản phẩm rất đẹp và chắc chắn split
",0,0
8629,"15cai chỉ gần 600gr thôibánh đa dạng nhưng nhỏ là nhiều
",0,1
11224,"chị bán hàng nhiệt tình đóng gói sản phẩm kĩ càng cẩn thận chất lượng sản phẩm rất tốt
",0,0
5888,"giao hàng siêu nhanh đóng gói cẩn thận xăng đan đẹp nữa chứ cám ơn shop
",0,0
11118,"giày đẹp và chất lượng ạ split sẽ ủng hộ lần sau
",0,0
10991,"đẩy giá lên cao để giảm mạnh thất vọng về cách bán hàng kiểu này sao không nói giá thật rồi giảm ít thôi
",1,1
1593,"chất lượng sản phẩm tuyệt vời mẫu mã cũng đẹp
",0,0
3941,"đóng gói sản phẩm rất đẹp và chắc chắn nhân viên giao hàng nhiệt tình
",0,0
5236,"mới mua chưa sử dụng nên chưa biết
",0,0
12424,"có rất nhiều hạt bị hư vì thế bị đắng mình rất không hài lòng với sản phẩm này
",1,1
3481,"""tác phẩm đầu tiên của Dương Thụy mình đọc là Oxford thương yêu. Mình rất thích tác phẩm này nên khi biết Dương Thụy có thêm tác phẩm mới mình liền tìm đọc ngay. Nhưng chỉ sau khi đọc vài chương mình đã cảm thấy chán ngay. Câu chuyện không có diễn biến cao trào gì đáng nói tác giả tìm cách bày tỏ tình cảm suy nghĩ của các nhân vật qua các bức email gửi cho người thân nhưng mình thấy nói ra kiểu này thì cứ gượng ép không tự nhiên sao sao ấy. Còn câu chuyện tình yêu giữa Mai và 2 chàng trai trong truyện thì mình đọc mà hoang mang không biết họ nảy sinh tình cảm từ khi nào nữa. Đọc tiểu thuyết tình cảm cũng khá nhiều nhưng mình cũng ít khi thấy 1 câu chuyện tình yêu nào mà chóng vánh hời hợt như vậy. Cũng có thể là mình không cảm nhận được cách diễn tả của tác giả nhưng dù sao nếu sau này Dương Thụy có tác phẩm mới mình cũng sẽ tìm đọc. Hi vọng chị sẽ có nhiều tác phẩm hay hơn nữa để không phụ tình cảm mà đọc giả giành cho chị!""
",1,1
6088,"hàng đóng gói kĩ càng chắc chắn sản phẩm dùng rất thích luôn rất đáng tiền nữa
",0,0
4220,"giầy chất đẹp shop phục vụ tốt
",0,0
13465,"sách đẹp shop đóng gói hộp rất đẹp và chắc chắn ở bên ngoài bên trong còn cẩn thận quấn mấy lớp màng bọc thực phẩm để tránh trường hợp nếu hộp bên ngoài bị dính nước cũng không ảnh hưởng sách bên trong thời gian giao hành nhanh rất đáng tiền sẽ tiếp tục ủng hộ shop
",0,0
6641,"hết hạn sử dụng
",1,1
7039,"thái độ giao hàng của shipped rất khó chịu
",1,1
10798,"đóng gói sản phẩm rất kém chất lượng sản phẩm rất kém ảnh bị trùng hết rất không đáng tiền
",1,1
8401,"thời gian giao hàng nhanh đóng gói bình thường sản phẩm xài ok chắc chắn
",0,0
7676,"giấy dày quá tệ chưa gì đã muốn đứt
",1,1
11665,"đã mua nhiều lần nhưng lần này buộc phải cho 2sao vì giao sp không dùng được chỉ còn 1 2 thôi
",1,1
4794,"đặt cáp iphone lại giao cáp androi đóng gói sản phẩm rất kém
",1,1
1071,"cấu hình tốt đẹp tiện
",0,0
14225,"ok làm repeater thấy thu sóng tốt còn xiaomi gởi hàng nhanh
",0,0
15292,"giao hàng muộn 3 ngày mà không được thông báo lại còn phải 50 ký tự nữa định cho 4 sao nhưng phải viết thêm nên cho 2 sao
",1,1
88,"tương đối hài lòng giày chắc chắn êm nhưng đường may chỉ thừa còn nói chung ok với giá này thanks shop nha
",0,0
6385,"hàng đẹp không vào nước
",0,0
4043,"split đóng gói sản phẩm rất đẹp và chắc chắn split chất lượng sản phẩm tuyệt vời shop phục vụ rất tốt rất đáng tiền split mọi người nhớ ủng hộ shop này nha
",0,0
15749,"phom áo không đẹp
",1,1
7093,"mua hàng gửi toàn hàng bị lỗi báo shop nhưg không chịu đổi lại cũng không chịu hoàn trả còn bên vận chuyển thì rất có trách nhiệm đã yêu cầu về shop nhưng do shop làm ăn không uy tín
",1,1
13788,"em có con chuột không dây 150k cũng đầy đủ nút bấm dùng 2 năm rồi hết pin là thấy thôi
",0,1
8310,"sẽ ủng hộ shop lâu dài
",0,0
13695,"vớ mềm ok
",0,0
2977,"máy về không sử dụng đk bị hư
",1,1
2334,"cực kỳ ưng ý với sản phẩm của shop đóng hàng đẹp chắc chắn hàng đúng mẫu khách đặt đặc biệt bạn chủ shop cực kỳ đág yêu và nhiệt tình hướng dẫn mình từng tý một cách thức mua hàng và nhận mã khuyến mại vì mình chưa sử dụng shopee baoh sẽ ủng hộ bạn dài dài
",0,0
