id,comment,label
train_000000,"dùng được sp tốt cảm ơn split shop đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời
","0
"
train_000001,"chất lượng sản phẩm tuyệt vời sơn mịn nhưng khi đánh lên không như màu trên ảnh
","0
"
train_000002,"chất lượng sản phẩm tuyệt vời nhưng không có hộp không có dây giày đen không có tất
","0
"
train_000003,""":(( Mình hơi thất vọng 1 chút vì mình đã kỳ vọng cuốn sách khá nhiều hi vọng nó sẽ nói về việc học tập của cách sinh viên trường Harvard ra sao những nỗ lực của họ như thế nào 4h sáng? tại sao họ lại phải thức dậy vào thời khắc đấy? sau đó là cả một câu chuyện ra sao. Cái mình thực sự cần ở đây là câu chuyện ẩn dấu trong đó để tự bản thân mỗi người cảm nhận và đi sâu vào lòng người hơn. Còn cuốn sách này chỉ đơn thuần là cuốn sách dạy kĩ năng mà hầu như sách nào cũng đã có. BUồn...""
","1
"
train_000004,"lần trước mình mua áo gió màu hồng rất ok mà đợt này lại giao 2 cái áo gió chất khác như vải mưa ý
","1
"
train_000005,"chất lượng sản phẩm tuyệt vời có điều không cứng cáp với không cố định dáng nói chung đẹp hợp túi tiền
","0
"
train_000006,"đã nhận được hàng rất nhanh mới đặt buổi tối mà trưa mai là có rồi đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt
","0
"
train_000007,"các siêu phẩm thấy cấu hình toàn tựa tựa nhau không còn sự đột phá lớn nữa chỉ là nâng cấp khác nhau về kiểu dáng htc này với giá trên thật lòng khó cạnh tranh mạnh với siêu phẩm khác chỉ dành cho phan của họ thôi
","1
"
train_000008,"hàng ship nhanh chất lượng tốt tư vấn nhiệt tình ship rất đúng size sẽ ủng hộ shop nhiều
","0
"
train_000009,"đồng hồ đẹp nhưng 1 cái đứt dây 1 cái không chạy mua về phải sửa
","1
"
train_000010,"chất lượng sản phẩm tuyệt vờiy hình chụpđáng tiền
","0
"
train_000011,"hjhj shop giao hàng nhanh quá đẹp lắm ạ bé nhà m rất thích
","0
"
train_000012,"nhìn đẹp phết nhỉ
","0
"
train_000013,"đóng gói rất đẹp chất lượng sản phẩm rất tốt chất lượng sản phẩm tuyệt vời
","0
"
train_000014,"săn được với giá 11k toẹt vời
","0
"
train_000015,"ok rất hài lòng
","0
"
train_000016,"giao thiếu mình cái này rồi shop ơi t^t^t
","1
"
train_000017,"chất lượng sản phẩm tuyệt vời tôi rất thích
","0
"
train_000018,"giày đẹp lắm có điều dây hơi ngắn tí ạ chất lượng sản phẩm tuyệt vời
","0
"
train_000019,"yếm vải đẹp nhưng ít mẫu đẹp
","0
"
train_000020,"chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền rất đáng tiền giao hàng hôm sau là có
","0
"
train_000021,"không hài lòng sản phẩm cho lắm giặt lần đầu tiên đã nhòe màu hết rồi
","1
"
train_000022,"giao hàng nhanh mặc đẹp split cám ơn shop
","0
"
train_000023,"chất lượng sản phẩm tuyệt vời bao bì cute phô mai que son đánh mịn cực không có bị bột à còn giáo hành mã nhanh luôn
","0
"
train_000024,"đồng hồ thì đẹp thật nhưng tại sao kim lúc chạy lúc đứng nhắn tin thì không trả lời mấy bạn lưu ý đừng mua nữa
","1
"
train_000025,"giao hàng siêu nhanh split đóng gói cẩn thận và tư vấn nhiệt tình split hạt điều thấm vị và giòn
","0
"
train_000026,"cũng hơi bất tiện xu thế này em rằng đa phằn người dùng sẽ không ưa thích
","1
"
train_000027,"toàn hàng trungkhi mua quên không coi kĩ
","1
"
train_000028,"đóng gói sản phẩm rất đẹp và chắc chắn được shop tặng thêm quà nữa
","0
"
train_000029,"hôm nay chiên thử cá hồi cá chiên ăn ngọt hơn chiên kiểu truyền thống vì giữ được nước split chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn
","0
"
train_000030,"máy này có cái cpu không phải skylake là thấy không hay rồi
","1
"
train_000031,"hàng vận chuyển bị nứt mẻ 1 gócchất lượng ok
","0
"
train_000032,"sạc tự động ngắt pin
","0
"
train_000033,"shop giao hàng kh giống màu
","1
"
