index,comment,label,predict
9520,"em này xách dép cho xiaomi thôi
",1,0
13750,"chất lượng tốt trog tầm giánhưng giao hàng chậmtừ lúc đặt đến lúc nhận được hàng là tròn 1tuan
",1,0
102,"ngọt wá cây wá ướt wá tạm được đúng với giá tiền
",1,0
2095,"combo tinh dầu cam ngọt brazil milaganics 10ml tinh dầu oải hương ấn độ milaganics 10ml không thơm
",1,0
7254,"hàng nhìn trên thấy đẹp về thì hãng xấu mò
",1,0
10509,"giày giống hình nhưng đi rất đau chân phần da giày rất cứng
",1,0
12010,"shop gói không kỹ móp cả con gàchỉ thì xúc hếtko chắc chắn v đẹp như hìh đăng
",1,0
9267,"thời gian giao hàng nhanh nhưng chất lượng sản phẩm kém dù giá ban đầu shop rao là 699k và giảm còn 97k đồng hồ chạy nhanh khoảng 15p mỗi 8 tiếng mua về đeo 1 ngày quăng thì ok
",1,0
7722,"thời gian giao hàng nhanh shop phục vụ rất tốt đóng gói sản phẩm rất đẹp và chắc chắn tiền nào của đó thôi rẻ không nên mua
",1,0
9236,"sim lên mạng yếunổi chữ em
",1,0
14650,"tuy không nhận sự nhờ vả của chúng tôi nhưng bs vẫn mổ và chăm sóc cho bố tôi rất tốt cuộc phẫu thuật cho bố tôi kéo dài từ 8 giờ đến 17h30 chúng tôi rất cảm động
",1,0
9385,"đóng gói rất xấu
",1,0
5279,"hộp đựng ok nhuưng túi đựng vừa nhận kéo khóa đã hỏng rồiiiiiiiiii
",1,0
10034,"mình cứ nghĩ sẽ có 5 mẫu nhưng chỉ có hai mẫu cho 5 cái
",1,0
8035,"không ổn lắm
",1,0
10907,"với giá tiền này tôi chọn PC 40 triệu là được 1 case và 1 màn siêu khủng rồi
",1,0
2122,"shop giao lộn đơn hàng mong shop bán đồ có tâm dùm
",1,0
16032,"chất lượng sản phẩm tuyệt vời shop phục vụ kém thời gian giao hàng chậm
",1,0
13030,"nếu tốt thì mọi người hoan nghênh và chúc mừng
",1,0
3527,"hàng bị vỡ 1 chút nhưng vẫn dùng đượcthời gian đợi lâu qias
",1,0
3502,"không ngon lắm khô mềm và có mùi mình
",1,0
12402,"mình vừa mở hàng thì thấy bị bể như hình shop vui lòng đổi lại sp mới giúp mình nhé thanks
",1,0
3169,"chất lượng sản phẩm tốt giao hàng nhanh split tôi rất hài lòng với sp mà tôi đã chọn split cảm ơn shopee
",1,0
11387,"địt mẹ hàng như lồn mẹ chủ shop địt mẹ m
",1,0
4057,"máy nhanh nóng quá
",1,0
6259,"cũng đẹp nhưng mấy lời
",1,0
13214,"fakeee
",1,0
3706,"lần đầu mua thấy đẹp mua thêm cái sau cũng là loại quần đó mà vừa rộng vừa xấuchào tạm biệt
",1,0
4606,"giao hàng nhanh đóng gói chắc chắn tuy nhiên cân không chính xác hơi thất vọng
",1,0
9355,"ngon và lạ
",1,0
9927,"tinh dầu không nguyên chất lắm nên mới có giá rẻ split không nên mua
",1,0
15480,"sơn màu đẹp chất lượng tốt có ảnh shipper cute vll hehee đó anh shipper quá cute nên react cho 1 sao
",1,0
8406,"sữa rửa mặt rất ok nhưng tại sao lại không có sản phẩm tặng kèm vậy
",1,0
10926,"rất dở
",1,0
6208,"sản phẩm được nhưng không đáng với tầm tiền như giày giá rẻ chứ không được sf
",1,0
13143,"giao hàng quá lâu dép êm nhưng khá cao size 40 như size 38 bé lắm
",1,0
13815,"thiết kêa nắp mở bung sử dụng rất bất tiện dễ bị đổ hết ra không căn được lượng dầu ra ngoài chất lg chưa sử dụng nên chưa đánh giá được
",1,0
11708,"vấn đề lớn nhất là gây rát vì có chất bạc hà với các bạn nữ nhạy cảm thì khó sử dụng được cảm giác rất dễ nhận thấy ngay lần sử dụng đầu tiên mình không khuyến khích với ai sử dụng chai bôi trơn lần đầukhó thích nghi với mức độ rát mẫu mã đóng gói rất tốt và đẹp mắt
",1,0
15436,"thời gian giao hàng chậmdoi nhận hàng sốt cả ruột
",1,0
4860,"sản phẩm đẹp xứng với giá 125 triệu
",1,0
8888,"đóng gói sản phẩm rất đẹp và chắc chắn nhưng sơn có mùi sáp y chang mùi son trôi nổi ngoài chợ màu lên không chuẩn như hình đáng tiếc khi mua 3cay
",1,0
13516,"ốp hơi cũ shop nha
",1,0
3000,"áo ok quần mỏng quá thôi tiền nào của đấy tặng shop 5 sao
",1,0
9838,"ời mình mới tìm hiểu thấy thừa 960 với giá khoảng 3tr chơi game cũng ngon lắm rồi
",1,0
14435,"tạm được với số tiền
",1,0
13598,"thời gian giao hàng rất nhanh dùng ngứa với lên mụn
",1,0
12942,"hơi lồi nhỉ
",1,0
259,"giày tốt mang êm cho sao ít vì chọn giao hàng trong ngày mà tận 3 ngày kể từ ngày order mới nhận được
",1,0
2798,"17 triệu ư với giá đó thì htc tiếp tục chết
",1,0
3804,"shop nên nghỉ bán đi là vừa gian manh vừa thôi
",1,0
9850,"shop phục vụ rất tốt thời gian giao hàng rất nhanh tiền nào thì của đó
",1,0
7025,"hàng rất đẹp 3
",1,0
4438,"nhỏ gọn độ trễ ít split thời gian sử dụng pin chưa nhiều
",1,0
7838,"chân nhẹ dễ lật
",1,0
3372,"đặt 43 gửi 42 split shop tính sao ạ
",1,0
5749,"ươm 10 năm chắc cũng chẳng mọc được shop ạ
",1,0
4202,"gói hàng cũng tốt sp i hình tư vấn tận tình chị chủ dễ thương với khách nhưng sản phẩm không có thể thể thơm mát của bạc hà kẹo chỉ chua chua ngọt ngọt như kẹo của mấy đứa nhỏ ăn thôi chỉ có ưu điểm là mùi vị thơm lâu ăn khoảng 20 mà vị nhỏ vẫn còn thoang thoảng trong miệng
",1,0
7163,"1 ô phấn bị bể
",1,0
2656,"chất lượng sản phẩm tốt nhưng sau 1 lần giặt màu của các ô kẻ trên giày bị bạc đi rất nhiều
",1,0
6167,"chun rộng thênh thang vậy may chun quần chi vậy
",1,0
15478,"chất lượng sản phẩm kém đóng gói sản phẩm rất đẹp và chắc chắn giá cả chấp nhận được thời gian giao hàng chậm
",1,0
10994,"nói chung là rắc rối lắm
",1,0
1862,"form giày không đẹp
",1,0
14022,"chất lượng phù hợp với giá cả màu cam in bị lem không biết màu nhuộm có hại cho da không
",1,0
15532,"sản phẩm nói độ lì 14h mà mới ăn đã hết split
",1,0
50,"đóng gói sản phẩm rất kémtư vấn không nhiệt tình
",1,0
15669,"shop phục vụ kémko đủ số lượng kẹp
",1,0
3031,"giao size xs mà cho em bé mặc vừa
",1,0
13034,"đóng gói tốt và giao hàng nhanh nhưng sản phẩm thì không như hình
",1,0
14104,"lenovo chụp hình xấu nhất cõi đời mua dùng thử đi rồi bít
",1,0
9826,"hơi yếu 1 tí
",1,0
4097,"thấy phím thấm dầu là sản phẩm của nhật nên mình đã đặt mua luôn giấy dai thấm dầu khá tốt kích thước nhỏ gọn được khá nhiều người đánh giá là chất lượng tốt lại còn giá rẻ hơn một số loại ở thị trường nữa chứ đây là một sản phẩm nên mua
",1,0
10444,"shop ghi tặng 6 miếng mà khi nhận được hàng chẳng thấy hàng tặng
",1,0
7709,"không chụp được split
",1,0
7229,"mình dùng suface pro 3 thấy chạy tốt mà đẹp hơn con này
",1,0
8506,"chất lượng sp tốt nhưng shop ship quá lâu
",1,0
15155,"giao hàng lâu lắc
",1,0
6244,"sản phẩm giống hình nhưng áo rộng dài còn quần ngắn không ưng ý laems
",1,0
7333,"chỉ được 1 ít thôi ria mép vẫn còn 90%% luôn
",1,0
15873,"chất lượng của sản phẩm phù hợp với giá tiền có thể hãng cần nghiên cứu sao cho cục sạc ít nóng trong quá trình sạc vì hiện nay khi sạc cục sạc rất nóng nên tâm lý người sử dụng sợ nó cháy nổ
",1,0
9375,"tạmnhưng lâu dài thì chưa bt
",1,0
9483,"giá rẻ đi kèm với chất lượng kém gối hơi bị thủng vậy dùng sao
",1,0
10419,"t đắp xong thấy mặt nổi mụnda t là dạng bôi gì cũng được cực ít khi có mụnđắp xong thấy mặt cứ lầm tấm y split
",1,0
5215,"chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt thời gian giao hàng chậm rất đáng tiền thời gian giao hàng chậm
",1,0
747,"vỏ nồi hơi mỏng
",1,0
10338,"món này không giao hộ mình vậy shop
",1,0
5076,"chẳng tốt dầu dừa nhà tự nấu dùng tốt hơn và không bị cay mắt nói chung sản phẩm tệ
",1,0
15228,"xài thấy khô da thêm khôg nên mua
",1,0
15963,"quạt đẹp giá tốt rất hài lòng với sản phẩm
",1,0
6311,"mặt nạ nhỏ hơn so với khuôn mặt bình thường chất lượng bình thường 5 10 điểm split tiki giao hàng nhanh đóng gói cẩn thận
",1,0
9234,"chất lượng sản phẩm rất kémchuot sài rồi nha mọi người dùng mua split
",1,0
7150,"lừa nhau à shop
",1,0
2701,"ôi cái giá tiếp tục ngủ thôi
",1,0
